,title,videoId
0,상위20% 서울아파트 평균가격 10억원 재돌파,I64eQJigGGk
1,서울 아파트 전세 절반 이상 3억5천만원 넘었다,T2GhsUZALqw
2,서울지역 평균 아파트값 3.3㎡당 2천만원 넘었다,AphTj-BtL-U
3,주택거래 2006년 이후 최대...서울 아파트값 평균 5억 원 / YTN,CCG6H0QIpYE
4,주택거래 2006년 이후 최대...서울 아파트값 평균 5억 원 / YTN,EN3zxqOrmGg
5,뚝 끊긴 거래…강남 아파트값 1년 만의 첫 하락,qVorlUUAA9s
6,"서울아파트 매매가격 1,700만원 재탈환",VuCC0nZ4H0w
7,수도권 지역별 아파트값 역대 ‘최고가’ 속출,bo8vCAZyirE
8,8월 서울아파트값 12년만에 최대폭 상승,rCNuDNvOxiQ
9,서울 강남 재건축 아파트 가격 ‘꿈틀’_채널A_뉴스TOP10,Jv4zmny0mCg
10,강남구 아파트 값 1년 만에 하락,Va4hDHO2AZE
11,서울 아파트값 상승...4년 5개월 만에 최고 / YTN,tE0EyF78A_I
12,서울 아파트값 상승폭 1년만에 최소…재건축은 하락,Cbyl3OS8wt8
13,집값 너무 올랐나…서울 아파트 거래량 주춤,RflfhOoR4_k
14,"서울 아파트 평균 분양가 1,900만 원 초과 / YTN",-eeMZO1r5tg
15,뉴스타파 신년기획 – 최초분석 ‘이게 아파트 가격이다’(2015.1.6),_3w35vzQec8
16,서울 상위 20% 아파트 평균 가격 10억원 재돌파,nNMGWBABsfs
17,서울에서도 전세가율 90％ 넘는 아파트 속출 / YTN,hb2Wzibnc6A
18,"[뉴스큐] 서울 아파트 전셋값, 집값 70% 넘었다 / YTN",56zCrDe_hAc
19,서울에서도 전세가율 90％ 넘는 아파트 속출 / YTN,OnTTXcbBn18
20,서울 아파트 평균 매매가 2년 만에 5억 돌파_채널A_뉴스TOP10,wC46btyTmj0
21,서울지역 아파트 전셋값이 집값의 70% 넘어섰다,CJvNYdeAIj0
22,“서울소재 주택 구입 시 희망가격은 평균 4억 원”,1sbBiYlXoE0
23,서울 아파트 매매·분양권 거래 ‘뚝’…‘비수기+가계부채 대책’에 주춤?,J5PdpJ8YEjc
24,6년치 봉급 고스란히 모아야 서울 전세아파트 마련 / YTN,h_qdT-yBFSU
25,"(씨앤앰뉴스)서울 아파트, 일부 전세가율 80% 돌파",krvYLz-b934
26,어디까지 오르나… 매매가 넘는 전세 아파트 등장 / YTN,TMn1EZ6Ct34
27,소득 6년치 모아야 서울 아파트 전세 가능 / YTN,DjDBggOfuok
28,6년치 봉급 꼬박 모아야 서울 전세아파트 마련 / YTN,7g_ZY2TBrwY
29,"아파트값 '고공행진'...""거품·경기하강 경계"" / YTN",M81gH449lHI
30,"서울 아파트, 매매·전세가 격차 2006년 이후 최저 / YTN",4u_flA-Tp30
31,"서울시, ‘반전세’거래량·가격 공개한다",Ccv8yYacsH8
32,서울서도 아파트 전세가가 매매가 추월 / YTN,1Doj9BdH8HU
33,"""나는 서울 아파트 살 수 없을 것"" / YTN",JAo09lwL4lU
34,"부동산 시장 '소강'...서울 아파트 매매, 전세 추월 / YTN",LcdOc4m-5IM
35,주택 거래량 최대·가격 제자리…‘골디락스’ 현상?,pviIElWLHag
36,중소형 전세난에 일부 아파트 가격 역전 / YTN,La0naR_5VH0
37,서울 아파트 거래 불붙었다…2월도 사상 최대,HaaPdP-B_Og
38,지난해 서울아파트 평균 전셋값 2천645만 원↑ / YTN,UQ06GMbf3_o
39,서울 전세 4주 연속 상승폭 확대,E64zNvAQ4dY
40,[경제] 재건축 사업 속도따라…시세 '오르락 내리락' (SBS8뉴스|2014.11.8),UyYcZODQ5HY
41,서울 아파트값 0 09% 상승… 22주째 올라,M2K6T2F9FoA
42,서울 전세가율 사상 최고…9월 현재 64 6%,sNjq9hAStCg
43,서울 아파트 전셋값 고공행진...매매가도 상승 / YTN,5DJ4zUv8YWE
44,[부동산 경제특강] 서울 재건축 아파트와 도시재생사업 집중분석,AXTy1X0Zj9M
45,중소형 아파트 가격 상승률 10년 새 최고 / YTN,ySDk5oZZoIw
46,"강남 전셋값, 강북 집값 사상 처음 앞질러",lA1RnLknaAg
47,[경제] 아파트 전세난민 대이동…다세대 전셋값 들썩 (SBS8뉴스|2015.01.23),EsKfCMIu11I
48,서울 강북 아파트 평균 매매가 4억 원 돌파 / YTN,QurAqw6flgU
49,수도권아파트 거래 역대 최대…정점 찍고 꺾이나,j7S-WHBhAg4
50,올해 서울 아파트 평균 전셋값 5천만 원 올라,TYXXrRss67s
51,'저금리ㆍ전세난'에 서울 아파트 월세비중 사상 최고,XFJGkJepe-c
52,"아파트가격과 경제성장률은 비례한다, 윤용태교수 강의 (1강 1부)",jbf4WtJ6094
53,주택시장 '숨 고르기'...일부 지역 가격 하락 / YTN,Y0zDjVdKxeU
54,서울 아파트 9월 거래량 2009년 이후 최고,YrJpoM8c60A
55,서울 아파트 전셋값 고공행진...매매가도 상승 / YTN,H3sCHuFIdYQ
56,"""수도권 아파트 전셋값, 매매가의 73%""...역대 최고 / YTN",vPZ1x8kipDA
57,"서울 재건축 3 3㎡당 매매가 3,000만원 넘겨",KKZPFtFKAbQ
58,주택시장 '숨 고르기'...일부 지역 가격 하락 / YTN,iso6xrLlHmU
59,서울-지방 아파트값 격차 3배 이하로 줄어 / YTN,GQz7eZoK8DI
